date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 03:20AM",Primetime,Huck,1Ha3VITg5Ct2ELIkg7fU2R,https://open.spotify.com/track/1Ha3VITg5Ct2ELIkg7fU2R,spotify:track:1Ha3VITg5Ct2ELIkg7fU2R,0.69,0.463,0,-11.586,0.0667,0.261,0.000184,0.338,0.693,77.995,163077
"September 4, 2022 at 03:23AM",Strange Times,Leisure Club,52kTdXruDuSnWFdgUiIvTq,https://open.spotify.com/track/52kTdXruDuSnWFdgUiIvTq,spotify:track:52kTdXruDuSnWFdgUiIvTq,0.456,0.871,7,-5.834,0.065,0.164,0.0608,0.095,0.274,143.044,193148
"September 4, 2022 at 03:26AM",New Moon,wwoman,5uJQevJ22qj8oQiPPhA7XU,https://open.spotify.com/track/5uJQevJ22qj8oQiPPhA7XU,spotify:track:5uJQevJ22qj8oQiPPhA7XU,0.768,0.661,5,-9.53,0.0436,0.248,0.428,0.214,0.963,110.01,208480
"September 4, 2022 at 03:29AM",don't tlk,toast,2NK8ACcKh7aB0hZ4ksMQ2j,https://open.spotify.com/track/2NK8ACcKh7aB0hZ4ksMQ2j,spotify:track:2NK8ACcKh7aB0hZ4ksMQ2j,0.575,0.865,9,-7.289,0.0396,0.000376,0.622,0.534,0.96,129.993,170077
"September 4, 2022 at 03:32AM",Let's Pretend,Sinqa,6J1EqQ3ItDs8Ryekz79SAK,https://open.spotify.com/track/6J1EqQ3ItDs8Ryekz79SAK,spotify:track:6J1EqQ3ItDs8Ryekz79SAK,0.871,0.576,1,-10.31,0.213,0.0289,1.29e-06,0.1,0.853,91.452,164009
"September 4, 2022 at 03:35AM",For Too Long,Jeff Draco,37t5Fvr6VmQdjUDrahc76P,https://open.spotify.com/track/37t5Fvr6VmQdjUDrahc76P,spotify:track:37t5Fvr6VmQdjUDrahc76P,0.595,0.79,11,-8.167,0.0968,0.0495,0.00928,0.0805,0.756,89.974,190170
"September 4, 2022 at 03:38AM",Do You Like It?,Tungz,11ed59ZS1gPHKwgR0LB6fW,https://open.spotify.com/track/11ed59ZS1gPHKwgR0LB6fW,spotify:track:11ed59ZS1gPHKwgR0LB6fW,0.711,0.648,0,-8.579,0.0432,0.0381,5.57e-06,0.0662,0.763,104.045,198982
"September 4, 2022 at 03:41AM",I Can't!,mmmonika,7Hc4jMa01bO5UKGuOGgBU1,https://open.spotify.com/track/7Hc4jMa01bO5UKGuOGgBU1,spotify:track:7Hc4jMa01bO5UKGuOGgBU1,0.707,0.709,8,-8.135,0.0959,0.0834,0.0473,0.12,0.56,150.005,185600
"September 4, 2022 at 03:45AM",Saigon,Argonaut & Wasp,2QEehJ6B2bbmlb5Aa8hzRc,https://open.spotify.com/track/2QEehJ6B2bbmlb5Aa8hzRc,spotify:track:2QEehJ6B2bbmlb5Aa8hzRc,0.735,0.818,9,-5.35,0.0461,0.0013,0.000188,0.165,0.963,130.015,215840
"September 4, 2022 at 03:49AM",I'm Enough,Early Eyes,0lYpiiF54UaSERSOsMGBgx,https://open.spotify.com/track/0lYpiiF54UaSERSOsMGBgx,spotify:track:0lYpiiF54UaSERSOsMGBgx,0.762,0.695,4,-4.263,0.0358,0.0479,0.0556,0.155,0.529,134.985,210653
